带长代号 | 节线长Lp/mm | 节线长上的齿数
- | 基本尺寸 | 极限偏差 | MXL | XXL | XL | L | H | XH | XXH
36 | 91.44 | ±0.41 | 45 | - | - | - | - | - | -
40 | 101.6 | ±0.41 | 50 | - | - | - | - | - | -
44 | 111.76 | ±0.41 | 55 | － | - | - | - | - | -
48 | 121.92 | ±0.41 | 60 | － | - | - | - | - | -
50 | 127 | ±0.41 | － | 40 | - | - | - | - | -
56 | 142.24 | ±0.41 | 70 | － | - | - | - | - | -
60 | 152.4 | ±0.41 | 75 | 48 | 30 | - | - | - | -
64 | 162.56 | ±0.41 | 80 | － | － | - | - | - | -
70 | 177.8 | ±0.41 | － | 56 | 35 | - | - | - | -
72 | 182.88 | ±0.41 | 90 | － | － | - | - | - | -
80 | 203.2 | ±0.41 | 100 | 64 | 40 | - | - | - | -
88 | 223.52 | ±0.41 | 110 | － | － | - | - | - | -
90 | 228.6 | ±0.41 | － | 72 | 45 | - | - | - | -
100 | 254 | ±0.41 | 125 | 80 | 50 | - | - | - | -
110 | 279.4 | ±0.46 | － | 88 | 55 | - | - | - | -
112 | 284.48 | ±0.46 | 140 | － | － | - | - | - | -
120 | 304.8 | ±0.46 | － | 96 | 60 | － | - | - | -
124 | 314.33 | ±0.46 | － | － | － | 33 | - | - | -
124 | 314.96 | ±0.46 | 155 | － | － | － | - | - | -
130 | 330.2 | ±0.46 | － | 104 | 65 | － | - | - | -
140 | 355.6 | ±0.46 | 175 | 112 | 70 | － | - | - | -
150 | 381 | ±0.46 | － | 120 | 75 | 40 | - | - | -
160 | 406.4 | ±0.51 | 200 | 128 | 80 | － | - | - | -
170 | 431.8 | ±0.51 | － | － | 85 | － | - | - | -
180 | 457.2 | ±0.51 | 225 | 144 | 90 | － | - | - | -
187 | 476.25 | ±0.51 | － | － | － | 50 | - | - | -
190 | 482.6 | ±0.51 | － | － | 95 | － | - | - | -
200 | 508 | ±0.51 | 250 | 160 | 100 | － | - | - | -
210 | 533.4 | ±0.61 | － | － | 105 | 56 | - | - | -
220 | 558.8 | ±0.61 | － | 176 | 110 | － | - | - | -
225 | 571.5 | ±0.61 | - | － | － | 60 | - | - | -
230 | 584.2 | ±0.61 | - | - | 115 | － | － | - | -
240 | 609.6 | ±0.61 | - | - | 120 | 64 | 48 | - | -
250 | 635 | ±0.61 | - | - | 125 | － | － | - | -
255 | 647.7 | ±0.61 | - | - | － | 68 | － | - | -
260 | 660.4 | ±0.61 | - | - | 130 | － | － | - | -
270 | 685.8 | ±0.61 | - | - | - | 72 | 54 | - | -
285 | 723.9 | ±0.61 | - | - | - | 76 | － | - | -
300 | 762 | ±0.61 | - | - | - | 80 | 60 | - | -
322 | 819.15 | ±0.66 | - | - | - | 86 | － | - | -
330 | 838.2 | ±0.66 | - | - | - | － | 66 | - | -
345 | 876.3 | ±0.66 | - | - | - | 92 | － | - | -
360 | 914.4 | ±0.66 | - | - | - | － | 72 | - | -
367 | 933.45 | ±0.66 | - | - | - | 98 | － | - | -
390 | 990.6 | ±0.66 | - | - | - | 104 | 78 | - | -
420 | 1066.8 | ±0.76 | - | - | - | 112 | 84 | - | -
450 | 1143 | ±0.76 | - | - | - | 120 | 90 | － | -
480 | 1219.2 | ±0.76 | - | - | - | 128 | 96 | － | -
507 | 1289.05 | ±0.81 | - | - | - | － | － | 58 | -
510 | 1295.4 | ±0.81 | - | - | - | 136 | 102 | － | -
540 | 1371.6 | ±0.81 | - | - | - | 144 | 108 | － | -
560 | 1422.4 | ±0.81 | - | - | - | － | － | 64 | -
570 | 1447.8 | ±0.81 | - | - | - | － | 114 | － | -
600 | 1524 | ±0.81 | - | - | - | 160 | 120 | － | -
630 | 1600.2 | ±0.86 | - | - | - | － | 126 | 72 | -
660 | 1676.4 | ±0.86 | - | - | - | － | 132 | － | -
700 | 1778 | ±0.86 | - | - | - | - | 140 | 80 | 56
750 | 1905 | ±0.91 | - | - | - | - | 150 | － | －
770 | 1955.8 | ±0.91 | - | - | - | - | － | 88 | －
800 | 2032 | ±0.91 | - | - | - | - | 160 | － | 64
840 | 2133.6 | ±0.97 | - | - | - | - | － | 96 | －
850 | 2159 | ±0.97 | - | - | - | - | 170 | － | －
900 | 2286 | ±0.97 | - | - | - | - | 180 | － | 72
980 | 2489.2 | ±1.02 | - | - | - | - | － | 112 | －
1000 | 2540 | ±1.02 | - | - | - | - | 200 | － | 80
1100 | 2794 | ±1.07 | - | - | - | - | 220 | － | －
1120 | 2844.8 | ±1.12 | - | - | - | - | － | 128 | －
1200 | 3048 | ±1.12 | - | - | - | - | － | － | 96
1250 | 3175 | ±1.17 | - | - | - | - | 250 | － | －
1260 | 3200.4 | ±1.17 | - | - | - | - | － | 144 | －
1400 | 3556 | ±1.22 | - | - | - | - | 280 | 160 | 112
1540 | 3911.6 | ±1.32 | - | - | - | - | － | 176 | －
1600 | 4064 | ±1.32 | - | - | - | - | － | － | 128
1700 | 4318 | ±1.37 | - | - | - | - | 340 | － | －
1750 | 4445 | ±1.42 | - | - | - | - | - | 200 | －
1800 | 4572 | ±1.42 | - | - | - | - | - | － | 144
