
########## tp ##########
power | 传动功率P | KW | def=4
n1 | 主动轴转速n1 | r/min | def=1440
n2 | 从动轴转速n2 | r/min | def=500
transmissionRatio | 传动比i |  | def=2.88
kA | 工况系数KA | KA查询 | def=1.5
trToothSyncBelt |  |  | def=
arcToothSyncBelt | 梯形齿同步带 |  | def=
beltSize | 选择带型 |  | def=
pitchB | 选定带节距pb | mm | def=
beltVelocity | 带速v | m/s | def=
z1Min | 小带轮z1min |  | def=
z1 | 取小带轮z1 |  | def=
z2Cal | 计算大带轮z2 |  | def=
z2 | 取大带轮z2 |  | def=
d1 | 计算小带轮d1 | mm | def=
d2 | 计算大带轮d2 | mm | def=
a0min |  | mm | def=
a0 | ≤ 初定轴间距a0 | mm | def=
a0max | ≤ 初定轴间距a0 mm ≤ |  | def=
calBeltLen | 计算带长Lp0 | mm | def=
beltLen | 选择节线长Lp | mm | def=
a | 实际轴间距a | mm | def=
zB | 节线长上齿数z |  | def=
zM | 小带轮啮合齿数Zm |  | def=
kZ | 啮合齿数系数Kz |  | def=
power0 | 基准额定功率P0 | KW | def=
bs0 | 基准宽度bs0 | mm | def=
bsMin | 所需最小带宽bs' | mm | def=
bs | 选择带宽bs | mm | def=
beltMass | 带每米长质量m 修正系数KF | kg/m | def=
kF | kg/m |  | def=
powerR | 额定功率Pr | KW | def=
force1 | 紧边张力F1 | N | def=
force2 | 松边张力F2 | N | def=
alpha1 | 小带轮包角&alpha;1 | ° | def=
forceQ | 压轴力FQ | N | def=
tp_beltType | 带型 |  | def=
tp_z | 带轮齿数z |  | def=30
tp_toothProfile | 齿廓形式 |  | def=
tp_decimals | 小数位 |  | def=3

########## pv ##########
power | 传动功率P | kW | def=5
n1 | 主动轴转速n1 | r/min | def=1460
n2 | 从动轴转速n2 | r/min | def=400
transmissionRatio | 传动比i |  | def=3.65
pv_kA | 工况系数KA | KA查询 | def=1.2
pv_powerD | 设计功率Pd | kW | def=
pv_beltSize | 带型 |  | def=
pv_deltaE | 有效线差Δe | mm | def=1.1
pv_epsilon | 弹性滑动率ε |  | def=0.01
pv_beltVelocity | 带速v | m/s | def=
pv_de1 | 选取标准值de1 | mm | def=
pv_de2Cal | 计算de2 | mm | def=
pv_de2 | 选取标准值de2 | mm | def=
pv_a0min |  | mm | def=
pv_a0 | ≤ 初定轴间距a0 | mm | def=
pv_a0max | ≤ 初定轴间距a0 mm ≤ |  | def=
pv_calBeltLen | 计算带长Le0 | mm | def=
pv_beltLen | 选择有效长度Le | mm | def=
pv_a | 实际轴间距a | mm | def=
pv_alpha1 | 小带轮包角α1 | ° | def=
pv_aMin | 中心距调整范围 | ≤ a ≤ | def=
pv_aMax | ≤ a ≤ | mm | def=
pv_calcMethodSelect | 计算方式 | 查表法 | def=
pv_power1 | 每楔基本额定功率Pr | kW | def=
pv_rawP1 | 每楔基本额定功率Pr kW 查表选P1和ΔP1 |  | def=
pv_deltaP1 | 传动比功率增量ΔP1 | kW | def=
pv_kAlpha | 包角修正系数Kα |  | def=
pv_kL | 带长修正系数KL |  | def=
pv_z | 楔数Z | 楔 | def=
pv_Ft | 有效圆周力Ft | N | def=
pv_forceG | 每楔带施加的力G | N | def=
pv_F1 | 带的紧边拉力F1 | N | def=
pv_F2 | 带的松边拉力F2 | N | def=
pv_forceF0 | 每楔初拉力F0 | N | def=
pv_forceQ | 压轴力FQ | N | def=

########## fb ##########
power | 传动功率P | KW | def=5
n1 | 主动轴转速n1 | r/min | def=1460
n2 | 从动轴转速n2 | r/min | def=400
transmissionRatio | 传动比i |  | def=3.65
elasticSlidingRate | 弹性滑动率ε |  | def=0.01
beltVelocity | 带速v | m/s | def=
fb_d1Coeff | 小带轮直径 d1 = |  | def=
fb_d1Cal | 计算d1 | mm | def=
fb_d1 | 选取标准值d1 | mm | def=
fb_d2Cal | 计算d2 | mm | def=
fb_d2 | 选取标准值d2 | mm | def=
fb_openTransmission | 传动形式 |  | def=open
fb_crossTransmission | 开口传动 |  | def=cross
fb_halfCrossTransmission | 开口传动 交叉传动 |  | def=halfCross
a0min |  | mm | def=
a0 | ≤ 初定轴间距a0 | mm | def=
a0max | ≤ 初定轴间距a0 mm ≤ |  | def=
fb_ordinaryBelt |  |  | def=ordinary
fb_nylonBelt | 普通胶帆布平带 |  | def=nylon
fb_nylonBeltType | 带型 |  | def=EL
fb_nylonBeltTypeDisplay | 带型 |  | def=EL
fb_nylonDelta | 带厚δ | mm | def=2
fb_delta | 带厚δ | mm | def=3
calBeltLen | 计算带长L0p | mm | def=
li | 带的内周长度Li | mm | def=
a | 实际轴间距a | mm | def=
beltLen | 实际带长L | mm | def=
fb_pulleyNum | 输入带轮数 |  | def=
fb_y | 曲绕次数 y |  | def=
alpha1 | 小带轮包角α1 | ° | def=
kA | 工况系数KA | KA查询 | def=1.5
fb_d1OverDelta | d1/δ |  | def=
fb_A | 截面积A | cm² | def=
fb_sigma0 | 预紧应力σ0 | MPa | def=1.8
fb_Fr | 压轴力Fr | N | def=
fb_Frmax | 压轴力Frmax | N | def=
