==== TABLE 3 rows=15 ====
带宽 | 极限偏差 | 带型
代号 | 尺寸系列 | Lp＜838.20 | Lp＞838.20～1676.40 | Lp＞838.20～1676.40 | Lp＞1676.40 | Lp＞1676.40 | MXL | XXL | XL | L | H | XH | XXH
12 | 3 | (+0.5,-0.8) | － | － | － | － | MXL | XXL | - | - | - | - | -
19 | 4.8 | (+0.5,-0.8) | － | － | － | － | MXL | XXL | - | - | - | - | -
25 | 6.4 | (+0.5,-0.8) | － | － | － | － | MXL | XXL | XL | - | - | - | -
31 | 7.9 | (+0.5,-0.8) | － | － | － | － | - | - | XL | - | - | - | -
37 | 9.5 | (+0.5,-0.8) | － | － | － | － | - | - | XL | - | - | - | -
50 | 12.7 | ±0.8 | (+0.8,-1.3) | (+0.8,-1.3) | － | － | - | - | - | L | - | - | -
75 | 19.1 | ±0.8 | (+0.8,-1.3) | (+0.8,-1.3) | (+0.8,-1.3) | (+0.8,-1.3) | - | - | - | L | H | - | -
100 | 25.4 | ±0.8 | (+0.8,-1.3) | (+0.8,-1.3) | (+0.8,-1.3) | (+0.8,-1.3) | - | - | - | L | H | - | -
150 | 38.1 | ±0.8 | (+0.8,-1.3) | (+0.8,-1.3) | (+0.8,-1.3) | (+0.8,-1.3) | - | - | - | L | H | - | -
200 | 50.8 | (+0.8,-1.3)(H)① | ±1.3(H) | ±0.48 | (+1.3,-1.5)(H) | ±0.48 | - | - | - | - | H | XH | XXH
300 | 76.2 | (+1.3,-1.5)(H) | ±1.5(H) | ±0.48 | (+1.5,-2.0)(H) | ±0.48 | - | - | - | - | H | XH | XXH
400 | 101.6 | － | － | ±0.48 | － | ±0.48 | - | - | - | - | - | XH | XXH
500 | 127 | － | － | － | － | ±0.48 | - | - | - | - | - | - | XXH

